Tema,Código,Descripción
Trayectoria,Formación e intereses,"Descripciones de las historias de origen de la persona entrevistada: su formación, el desarrollo de su trayectoria, intereses particulares tanto en general como en el campo de las humanidades digitales"
Trayectoria,Aprendizaje,"Referencias al aprendizaje individual de la persona entrevistada en las prácticas de las humanidades digitales: sus dificultades, oportunidades y recorridos particulares"
Infraestructura,Financiación,Referencia a problemas u orígenes de los presupuestos de proyectos en humanidades digitales
Infraestructura,Idioma,"Referencias y reflexiones con respecto a las brechas o posibilidades de acceso en las humanidades digitales en idiomas diferentes al inglés. Especialmente, las brechas con respecto a las prácticas de las humanidades digitales en español"
Infraestructura,"Física, software, estándares","Referencias y reflexiones con respecto al origen, estado y desarrollo de la infraestructura física, el software y los estándares de las humanidades digitales, ya sea por menciones a proyectos concretos o por reflexiones al asunto en general. También, referencias a alternativas y soluciones a las limitaciones en estos aspectos"
Infraestructura,Instituciones y comunidades,"Referencias y reflexiones con respecto al estado de la creación de instituciones, asociaciones, grupos de interés y centros para el estudio, el desarrollo o la promoción de las humanidades digitales"
Infraestructura,Educación,"Referencia al estado de las infraestructuras para la educación en teorías o prácticas necesarias para las humanidades digitales en el contexto de la persona entrevistada, sus problemas, alcances y oportunidades"
Epistemología,El término humanidades digitales,Menciones de las personas entrevistadas a su descubrimiento del término humanidades digitales
Epistemología,Postura instrumental / cultural,"Reflexiones con respecto a las dos posturas que configuran el eje de la epistemología digital: la visión instrumental de las tecnologías digitales como herramienta para el estudio de las humanidades digitales, la visión que entiende el mundo digital como expresión cultural y, por lo tanto, como objeto de estudio de las humanidades. Esta categoría también pueden incluir menciones a otras formas de epistemología digital, como el activismo"
Epistemología,Disciplinas,"Reflexiones con respecto a las disciplinas académicas de las humanidades: su entrecruzamiento, su necesidad o existencia real, su relación con las humanidades digitales"
Comunidad,Relación formal / informal,Referencias y reflexiones con respecto a las relaciones entre las comunidades formales (institucionalizadas y académicas) e informales (grupos de interés y comunidades de práctica) en el campo de las humanidades digitales
Comunidad,Valores formas de organización,"Referencias y reflexiones con respecto a los valores, problemas, ventajas y deventajas que pueden tener distintas formas de organización formal e informal en las humanidades digitales"
Tradición,Postura,"Referencias y reflexiones a la relación entre centro y periferia del humanismo en general y las humanidades digitales. Puede incluir reflexiones con respecto a posturas hegemónicas y subalternas en el humanismo y las humanidades, a las nociones de norte y sur global, a grupos marginalizados y su participación en el humanismo, a posturas decoloniales frente al humanismo, etc."
Tradición,Función,"Referencias explícitas o implícitas al valor humanístico de la conservación de la memoria o la escritura de lo común, en general o en relación con las humanidades digitales"
Tradición,Irrupción Digital,Menciones a caracterizaciones y valores propios de las humanidades digitales
Tradición,Irrupción Digital,"Conceptos e ideas que se superponen entre las humanidades tradicionales y las humanidades digitales. Pueden ser relaciones problemáticas o coincidencias en las prácticas, posturas epistemológicas o alcances de las humanidades digitales y las humanidades tradicionales"
Tradición,Función,"Referencias explícitas o implícitas al valor humanístico de la interpretación de la cultura, en general o en relación con las humanidades digitales"
Tradición,Postura,"Reflexiones y menciones con respecto a otras formas de entender las humanidades de manera diferente a su tradición hegemónica (posthumanismo, feminismo, visiones indígenas, identidad latinoamericana, activismo social, etc)"
Tradición,Función,"Reflexiones y menciones a lo digital como medio y su potencia expresiva a partir de la consciencia de su materialidad, en general o en relación con las humanidades digitales"
Tradición,Función,"Referencias explícitas o implícitas al valor humanístico de la educación y el cultivo personal del conocimiento, en general o en relación con las humanidades digitales"
Tradición,Función,"Referencias y reflexiones explícitas o implíctas con respecto al valor humanista de la construcción de los seres humanos en términos morales (como ciudadanos, como sujetos merecedores de bienestar, etc.), en general o en relación con las humanidades digitales"
Extra,Conceptos,"Conceptos propios que las personas entrevistadas mencionan y que pueden dar luces acerca de su concepción y caracterización de las humanidades digitales, sus comunidades y tensiones o que pueden plantear indicios para elaboraciones teóricas de los dominios en tensión en la investigación"