nombre,texto,img,url
"Jack Schaedler — Seeing circles, sines and signals","Una explicación técnica y detallada de las teorías del codificado y la transmisión digital de señales a través de medios digitales",./sines.png,https://jackschaedler.github.io/circles-sines-signals/signals.html
Daniel Shiffman — The nature of code,"Un libro digital que explica en detalle distintas maneras de simular fenómenos físicos utilizando código de programación",./natureofcode.png,https://natureofcode.com/
Distill,"Un journal dedicado a la publicación de artículos académicos en formato interactivo, principalmente relacionado con temas de machine learning en inteligencia artificial",./distill.png,https://distill.pub/
Brilliant,"Un portal educativo que usa explicaciones explorables para que sus usuarios aprendan contenidos relacionados con física, estadística, matemáticas, ingeniería y ciencias de la computación",./brilliant.png,https://brilliant.org/
Pontus Grandstörm — Many Tiny Things,"Una explicación explorable acerca de las cualidades físicas de elementos muy pequeños y cómo esas cualidades conforman el mundo que nos rodea",./tiny.png,https://manytinythings.github.io/
Paul Ford — What is Code?,"Un ensayo interactivo que reflexiona acerca de distintos componentes del código: interfaces, variables, algoritmos, etc. y oscila entre sus aspectos técnicos y culturales.",./code.png,https://www.bloomberg.com/graphics/2015-paul-ford-what-is-code/
Michael Whittle — Diagrams: Moving pictures of thought,"Una exhibición en línea, a través de entradas de blog, sobre el uso de diagramas y visualizaciones para el pensamiento científico",./diagrams.png,https://www.michael-whittle.com/diagrams
Tero Parviainen — How Generative Music Works,"Un explorable que hace un recorrido por la historia de la música generativa, tanto generada por computador como producida por medios analógicos. El explorable incluye varias demostraciones y simulaciones que permiten poner a prueba los conceptos involucrados en la composición y generación de sonidos.",./generativeMusic.png,https://teropa.info/loop/
Nicky Case - The Wisdom and/or Madness of Crowds,"Un explorable que, a través de simulaciones y de retos para el usuario, explica una serie de conceptos relacionados con las teorías de redes y grafos y su potencia para la investigación de fenómenos sociales",./crowds.png,https://ncase.me/crowds/
Setosa — Explained Visually,"Un conjunto de explicaciones explorables de conceptos científicos provenientes de la física y las matemáticas",./setosa.png,https://setosa.io/ev/